Topic,ID,Title,Difficulty,LeetCode,GFG,Video
Recursion & Backtracking,rec-13,Palindrome Partitioning,Medium,https://leetcode.com/problems/palindrome-partitioning/,,https://www.youtube.com/watch?v=WBgsABoClE0
Recursion & Backtracking,rec-14,Rat in a Maze,Medium,,https://www.geeksforgeeks.org/problems/rat-in-a-maze-problem/1,https://www.youtube.com/watch?v=bLGZhJlt4y0
Recursion & Backtracking,rec-15,Word Search,Medium,https://leetcode.com/problems/word-search/,,https://www.youtube.com/watch?v=vYYNp0Jrdv0
Recursion & Backtracking,rec-16,Partition to K Equal Sum Subsets,Medium,https://leetcode.com/problems/partition-to-k-equal-sum-subsets/,,https://www.youtube.com/watch?v=mBk4I0X46oI
Recursion & Backtracking,rec-17,Generate All Binary Strings from Pattern,Medium,,https://www.geeksforgeeks.org/problems/generate-binary-string3642/1,https://youtube.com/playlist?list=PLgUwDviBIf0rGlzIn_7rsaR2FQ5e6ZOL9
Recursion & Backtracking,rec-18,Josephus Problem,Medium,,https://www.geeksforgeeks.org/problems/josephus-problem/1,https://www.youtube.com/watch?v=ULUNeD0N9yI
Recursion & Backtracking,rec-19,Word Break II,Hard,https://leetcode.com/problems/word-break-ii/,,https://www.youtube.com/watch?v=QgLKdluDo08
Recursion & Backtracking,rec-20,N-Queens,Hard,https://leetcode.com/problems/n-queens/,,https://www.youtube.com/watch?v=i05Ju7AftcM
Recursion & Backtracking,rec-21,Sudoku Solver,Hard,https://leetcode.com/problems/sudoku-solver/,,https://www.youtube.com/watch?v=FWAIf_EVUKE
Recursion & Backtracking,rec-22,M-Coloring Problem,Hard,,https://www.geeksforgeeks.org/problems/m-coloring-problem-1587115620/1,https://www.youtube.com/watch?v=wuVwUK25Rfc
Linked Lists,ll-1,Remove Duplicates from a Sorted Linked List,Easy,https://leetcode.com/problems/remove-duplicates-from-sorted-list/description/,,https://youtu.be/Nvf9Yt1EElg?si=KO-nfJbJpQceooE7
Linked Lists,ll-2,Merge Two Sorted Linked Lists,Easy,https://leetcode.com/problems/merge-two-sorted-lists/description/,,https://youtu.be/XIdigk956u0?si=TPhnrERlt44ZREnF
Linked Lists,ll-3,Reverse Linked List,Easy,https://leetcode.com/problems/reverse-linked-list/description/,,https://youtu.be/G0_I-ZF0S38?si=3kwsCIv8VfplTt0n
Linked Lists,ll-4,Intersection of Two Linked Lists,Easy,https://leetcode.com/problems/intersection-of-two-linked-lists/description/,,https://youtu.be/D0X0BONOQhI?si=pbUU_ZNgMwqfR_uJ
Linked Lists,ll-5,Linked List Cycle,Easy,https://leetcode.com/problems/linked-list-cycle/description/,,https://youtu.be/gBTe7lFR3vc?si=RZZHTfxn8MwjwGP0
Linked Lists,ll-6,Convert Binary Number in a Linked List to Integer,Easy,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer/description/,,https://youtu.be/yxyNQZASQsU?si=9SnJNpCPY1I9jKED
Linked Lists,ll-7,Remove Nth Node From End of List,Medium,https://leetcode.com/problems/remove-nth-node-from-end-of-list/description/,,https://youtu.be/XVuQxVej6y8?si=fYhyBLTm2IxhEeFD
Linked Lists,ll-8,Convert Binary Tree to Doubly Linked List,Medium,,https://www.geeksforgeeks.org/problems/binary-tree-to-dll/1,https://youtu.be/kNZ5VIkqReU?si=jhtRfKEdfoM661Jo
Linked Lists,ll-9,Delete Node in a Linked List,Medium,https://leetcode.com/problems/delete-node-in-a-linked-list/description/,,https://youtu.be/kaEiCq2rZJY?si=Ept7CLPkjYWfn8eB
Linked Lists,ll-10,Add Two Numbers,Medium,https://leetcode.com/problems/add-two-numbers/description/,,https://youtu.be/wgFPrzTjm7s?si=pmcq2RFgQryCIYVJ
Linked Lists,ll-11,Pairwise Swap of Elements (Swap Nodes in Pairs),Medium,https://leetcode.com/problems/swap-nodes-in-pairs/description/,,https://youtu.be/o811TZLAWOo?si=yuPQbGSxbnhn2Pfy
Linked Lists,ll-12,Sort List,Medium,https://leetcode.com/problems/sort-list/description/,,https://youtu.be/TGveA1oFhrc?si=ZCzqPm6-TGQhF_3a
Linked Lists,ll-13,Start of Loop (Linked List Cycle II),Medium,https://leetcode.com/problems/linked-list-cycle-ii/description/,,https://youtu.be/95ZfuoSAUPI?si=4YhSA2aJmKpZEN5o
